,Unnamed: 0,Song Type,Title,LINK,duration_sec
84,84,Real,Beres Hammond - I Feel Good | Official Music Video,https://www.youtube.com/watch?v=HDan4GiflkA,232.0
85,85,Real,Beres Hammond - Love Means Never To Say I'm Sorry,https://www.youtube.com/watch?v=Uq8fqmSzsRI,232.0
86,86,Real,No Disturb Sign,https://www.youtube.com/watch?v=gNT_gM-fMhA,265.0
87,87,Real,Beres Hammond - Rockaway | Official Music Video,https://www.youtube.com/watch?v=Dj-E-YnyLK4,239.0
88,88,Real,Beres Hammond - She Loves Me Now,https://www.youtube.com/watch?v=cHc9k_opCyw,301.0
89,89,Real,Beres Hammond Tempted to Touch,https://www.youtube.com/watch?v=_kD2UkV0QPA,190.0
90,90,Real,They Gonna Talk,https://www.youtube.com/watch?v=GwF_pMS9OuM,238.0
91,91,Real,Beres Hammond- What one dance can do,https://www.youtube.com/watch?v=iHOecNgHzHE,240.0
92,92,Real,Black Uhuru - Guess whos coming to dinner,https://www.youtube.com/watch?v=KWEGXb2juvM,360.0
93,93,Real,Black Uhuru - Sinsemilla,https://www.youtube.com/watch?v=8vCumnMX1HU,316.0
94,94,Real,Sistren,https://www.youtube.com/watch?v=TKWpr9CY_qw,275.0
95,95,Real,Sponji Reggae - Black Uhuru,https://www.youtube.com/watch?v=fcEP801Xlow,293.0
96,96,Real,Bob Marley & The Wailers - Buffalo Soldier (Official Music Video),https://www.youtube.com/watch?v=uMUQMSXLlHM,162.0
97,97,Real,Bob Marley & The Wailers - Could You Be Loved (Official Music Video),https://www.youtube.com/watch?v=1ti2YCFgCoI,241.0
98,98,Real,"Bob Marley & The Wailers - Get Up, Stand Up (Live At The Rainbow Theatre, London / 1977)",https://www.youtube.com/watch?v=JLYOOezs3DA,280.0
99,99,Real,Bob Marley - Is This Love (Official Music Video),https://www.youtube.com/watch?v=69RdQFDuYPI,234.0
100,100,Real,Bob Marley & The Wailers - Jamming (Official Music Video),https://www.youtube.com/watch?v=oqVy6eRXc7Q,213.0
101,101,Real,"Bob Marley & The Wailers - No Woman, No Cry (Live At The Rainbow 4th June 1977)",https://www.youtube.com/watch?v=mZ6VezKMoRY,413.0
102,102,Real,Bob Marley & The Wailers - One Love / People Get Ready (Official Music Video),https://www.youtube.com/watch?v=IN0KkGeEURw,171.0
103,103,Real,"Roots, Rock, Reggae (1976) - Bob Marley & The Wailers",https://www.youtube.com/watch?v=OQYmGg3mKHg,218.0
104,104,Real,Stir It Up (Jamaican Version),https://www.youtube.com/watch?v=sWRlNpy8jB8,218.0
105,105,Real,Bob Marley & The Wailers - Three Little Birds (Official Music Video),https://www.youtube.com/watch?v=HNBCVM4KbUM,192.0
106,106,Real,Waiting In Vain (1977) - Bob Marley & The Wailers,https://www.youtube.com/watch?v=IWxbhC44p2w,256.0
107,107,Real,Buju Banton - Champion (Official Music Video),https://www.youtube.com/watch?v=TsrKloxhfaw,242.0
108,108,Real,Destiny,https://www.youtube.com/watch?v=AHsnSK0quvc,237.0
109,109,Real,Buju Banton - Hills and valleys,https://www.youtube.com/watch?v=0k27suBmV0U,278.0
110,110,Real,Buju Banton - Love Me Browning - Official Audio | Jet Star Music,https://www.youtube.com/watch?v=Ska1WdIixmk,228.0
111,111,Real,Buju Banton - Murderer,https://www.youtube.com/watch?v=WcP8_E8ygcA,238.0
112,112,Real,Buju Banton - Untold Stories (Official Music Video),https://www.youtube.com/watch?v=Kb-0Eo0Yk0o,253.0
113,113,Real,Buju Banton - Wanna Be Loved (Official Music Video),https://www.youtube.com/watch?v=YwSU0rcVTaE,225.0
114,114,Real,Bunny Wailer - Dreamland,https://www.youtube.com/watch?v=1jfoScCnjRY,166.0
115,115,Real,Bunny Wailer - Dreamland,https://www.youtube.com/watch?v=1jfoScCnjRY,166.0
116,116,Real,Mellow Mood,https://www.youtube.com/watch?v=MGhmUEoocA8,232.0
117,117,Real,Vin Gordon - Kojo Hoy / Kojo Dub,https://www.youtube.com/watch?v=uFyxrsms8-0,604.0
118,118,Real,Bad to Worst (2002 Remaster),https://www.youtube.com/watch?v=HOIYtK--o_8,210.0
119,119,Real,Columbus (2002 Remastered Version),https://www.youtube.com/watch?v=CZyTqj-vRrM,217.0
120,120,Real,Give Me,https://www.youtube.com/watch?v=M0fwkg_-rl4,191.0
121,121,Real,Hail H.I.M (2002 Remastered Version),https://www.youtube.com/watch?v=EUdCweRtqi8,256.0
122,122,Real,12'' Burning Spear - Jah No Dead,https://www.youtube.com/watch?v=LyjQyLIgRgA,424.0
123,123,Real,Burning Spear - Man in the Hills,https://www.youtube.com/watch?v=2RrXgpbzgEo,242.0
124,124,Real,Burning Spear - Marcus Garvey - 01 - Marcus Garvey,https://www.youtube.com/watch?v=oGN3R49-CAE,207.0
125,125,Real,Burning Spear -  Slavery Days (Live on 2 Meter Sessions),https://www.youtube.com/watch?v=BpAkVlESkHw,381.0
126,126,Real,Burning Spear - Social Living - 02 - Social Living,https://www.youtube.com/watch?v=kiHMvpQWCTI,180.0
127,127,Real,Traveling,https://www.youtube.com/watch?v=_aMFeITrcAU,188.0
128,128,Real,Capleton - Burning Now (hennessy riddim),https://www.youtube.com/watch?v=VlkZQ3Samrk,204.0
129,129,Real,Fireman CAPLETON in Rub-A -Dub Style,https://www.youtube.com/watch?v=tlPrvFqknrE,3722.0
130,130,Real,Capleton - Jah Jah City,https://www.youtube.com/watch?v=_xknsHOCyfg,205.0
131,131,Real,"CAPLETON ""Prophet Rides Again""",https://www.youtube.com/watch?v=-UTJyQf825o,205.0
132,132,Real,Capleton - That Day Will Come (Video),https://www.youtube.com/watch?v=-JvsImWF8-w,235.0
133,133,Real,Capleton- Tour,https://www.youtube.com/watch?v=uNg1fciXGGk,210.0
134,134,Real,Who Dem?,https://www.youtube.com/watch?v=Ui5X51qcKco,191.0
135,135,Real,Chronixx - Here Comes Trouble (Official Music Video),https://www.youtube.com/watch?v=LfeIfiiBTfY,235.0
136,136,Real,"Chronixx - ""I Can"" (Official Music Video)",https://www.youtube.com/watch?v=fUREgj4i684,246.0
137,137,Real,Chronixx - Likes (Official Music Video) | Chronology OUT NOW,https://www.youtube.com/watch?v=6Wq_K61Mh1A,258.0
138,138,Real,Odd Ras,https://www.youtube.com/watch?v=hk7Lgh0AW74,179.0
139,139,Real,Chronixx - Selassie Children [OFFICIAL AUDIO] | Chronology,https://www.youtube.com/watch?v=FuQVcn5yReo,338.0
140,140,Real,"Chronixx - ""Skankin' Sweet"" [Official Video] | Chronology",https://www.youtube.com/watch?v=049km3Vc02c,254.0
141,141,Real,Chronixx - Smile Jamaica (Official Video) - prod. by Silly Walks Discotheque,https://www.youtube.com/watch?v=vofff0Ei3kk,219.0
142,142,Real,Behold Jah Jah,https://www.youtube.com/watch?v=QW_0exwHsEQ,219.0
143,143,Real,Cocoa Tea - Good Life,https://www.youtube.com/watch?v=vt_E_4IaBdE,238.0
144,144,Real,Rocking Dolly,https://www.youtube.com/watch?v=W5GWsi87tE4,226.0
145,145,Real,She loves me now - Cocoa Tea,https://www.youtube.com/watch?v=MWCWUi2MZpo,231.0
146,146,Real,Cocoa Tea  - Young Lover (Lyrics),https://www.youtube.com/watch?v=COwY42d0z5k,221.0
147,147,Real,culture - i'm not ashamed,https://www.youtube.com/watch?v=9b3a7hiPj68,240.0
148,148,Real,Jah Rastafari (2001 Digital Remaster),https://www.youtube.com/watch?v=7MRGqV8PGxs,219.0
149,149,Real,Love Shine Bright (2000 Digital Remaster),https://www.youtube.com/watch?v=i9Ha2njUA08,244.0
150,150,Real,Natty Dread Taking Over,https://www.youtube.com/watch?v=KJhfA0i-FDY,226.0
151,151,Real,Culture jah see dem a come,https://www.youtube.com/watch?v=AcFDCAv3l3I,199.0
152,152,Real,The International Herb (2001 Digital Remaster),https://www.youtube.com/watch?v=gEkV9EpWkDw,201.0
153,153,Real,"Culture - Two Sevens Clash, 1977",https://www.youtube.com/watch?v=A3PjURr7lb4,215.0
154,154,Real,Culture - Zion Gate,https://www.youtube.com/watch?v=kfefipztGrA,217.0
155,155,Real,Damian Marley - Beautiful ft. Bobby Brown,https://www.youtube.com/watch?v=IBGYRtVqVSM,247.0
156,156,Real,Damian Marley x Stephen Marley - Grown & Sexy,https://www.youtube.com/watch?v=pnqwMsAEQRM,248.0
157,157,Real,Is It Worth It? (Gunman World),https://www.youtube.com/watch?v=GwjMPMGGVyY,277.0
158,158,Real,It Was Written,https://www.youtube.com/watch?v=qafd6YIDs7Q,361.0
159,159,Real,Khaki Suit,https://www.youtube.com/watch?v=qy6wD_IQs84,237.0
160,160,Real,"Damian ""Jr. Gong"" Marley - Medication ft. Stephen Marley",https://www.youtube.com/watch?v=9PukqhfMxfc,268.0
161,161,Real,Pimpa's Paradise,https://www.youtube.com/watch?v=wwRK8OrKlv0,304.0
162,162,Real,Damian Marley - Road To Zion ft. Nas Official Video,https://www.youtube.com/watch?v=I3g7UkOf5u4,279.0
163,163,Real,There For You,https://www.youtube.com/watch?v=E8qgqTf9bZQ,281.0
164,164,Real,Damian Marley - Welcome To Jamrock,https://www.youtube.com/watch?v=_GZlJGERbvE,220.0
165,165,Real,Dennis Brown - Cheater + Version Killer Roots,https://www.youtube.com/watch?v=zbKhp9JxdOY,367.0
166,166,Real,Dennis Brown - Here I Come [Best Quality],https://www.youtube.com/watch?v=ohhXi637ypg,266.0
167,167,Real,How Can I Leave You aka How Could I Live/ Bubbling Love,https://www.youtube.com/watch?v=vAYD6awMRYw,521.0
168,168,Real,DENNIS BROWN & BIG YOUTH - In His Own Way [1979],https://www.youtube.com/watch?v=w_4EgO2VIJY,892.0
169,169,Real,Dennis Brown - Love Has Found Its Way (Official Visualiser),https://www.youtube.com/watch?v=OuzFpc62_sU,269.0
170,170,Real,Money In My Pocket - Dennis Brown (1978 version) (official audio),https://www.youtube.com/watch?v=O1VbRLBY6vA,232.0
171,171,Real,Dennis Brown - Promised Land | Official Audio | The Harder They Fall (2021 film),https://www.youtube.com/watch?v=hpwZa8HX7mg,285.0
172,172,Real,Dennis Brown - Revolution [Official Album Audio],https://www.youtube.com/watch?v=0CGI0lS1ir4,260.0
173,173,Real,Dennis Brown - Westbound Train,https://www.youtube.com/watch?v=wkaNeYNlAik,182.0
174,174,Real,Dennis Brown - wolf and leopards,https://www.youtube.com/watch?v=MMLl9wRCBow,334.0
175,175,Real,Desmond Dekker & The Aces - 007 (Official Music Video),https://www.youtube.com/watch?v=kpVxwWQjIy0,172.0
176,176,Real,Desmond Dekker & The Aces – Israelites (Official Lyrics Video),https://www.youtube.com/watch?v=0wSXTN2EfRo,177.0
177,177,Real,Desmond Dekker & The Aces - It Mek (Official Audio),https://www.youtube.com/watch?v=5JXwN1HrnFY,154.0
178,178,Real,Desmond Dekker & the Aces - Keep a cool head ; Action! (1968),https://www.youtube.com/watch?v=tZCmsj4zTLU,123.0
179,179,Real,desmond dekker - mother long tongue ( beverley's 1967 ),https://www.youtube.com/watch?v=D4JgiwrA774,135.0
180,180,Real,Poor Me Israelites Desmond Dekker & Desmond Dekker Jnr Collaboration Version,https://www.youtube.com/watch?v=EWtqKmyQPho,269.0
181,181,Real,Desmond Dekker & The Aces - Rude Boy Train,https://www.youtube.com/watch?v=-xhpar75TBE,139.0
182,182,Real,Sing a Little Song,https://www.youtube.com/watch?v=etSGk3ngP1Y,182.0
183,183,Real,Desmond Dekker - Unity,https://www.youtube.com/watch?v=1EChQ4AcTKs,142.0
184,184,Real,Desmond Dekker   You Can Get It If You Really Want (official audio),https://www.youtube.com/watch?v=PLFmbE6Maa8,158.0
185,185,Real,I Just Can't Stop,https://www.youtube.com/watch?v=n05PMBXa_jU,157.0
186,186,Real,I'm Not Crazy,https://www.youtube.com/watch?v=gAcTAUanjgQ,202.0
187,187,Real,Don Carlos- Nice Time (Late Night Blues),https://www.youtube.com/watch?v=M2dr_d0hGcc,438.0
188,188,Real,Movin (To The Top),https://www.youtube.com/watch?v=QLO0MrqDLXk,217.0
189,189,Real,12'' Don Carlos - Mr Sun,https://www.youtube.com/watch?v=quvsj04WexE,424.0
190,190,Real,Rude Boy (Go Easy),https://www.youtube.com/watch?v=s9Roc3NIek8,275.0
191,191,Real,"Anarexol (12"")",https://www.youtube.com/watch?v=6mmhYfpEXSM,440.0
192,192,Real,Eek-a-Mouse - Ganja Smuggling,https://www.youtube.com/watch?v=XE0xXv-jQAI,232.0
193,193,Real,Eek-A-Mouse - Wa-Do-Dem,https://www.youtube.com/watch?v=VWxwbXLCPnc,236.0
194,194,Real,Big Ship Sailing - Freddie McGregor  (HQ Audio),https://www.youtube.com/watch?v=BO5arneLnjw,192.0
195,195,Real,FREDDIE McGREGOR - Bobby Bobylon [1979],https://www.youtube.com/watch?v=lSPcs0ahYro,292.0
196,196,Real,I was born a winner - Freddie McGregor,https://www.youtube.com/watch?v=C3oQ42reIKw,231.0
197,197,Real,Freddy Mcgregor - Just don't want to be lonely,https://www.youtube.com/watch?v=BbPFqcriuN0,236.0
198,198,Real,Push Come to Shove,https://www.youtube.com/watch?v=SdZZ6y5BqYc,220.0
199,199,Real,Gregory Isaacs - Cool Down The Pace,https://www.youtube.com/watch?v=-7WQ4K0zdAM,315.0
200,200,Real,If I Don't Have You (1990 Digital Remaster),https://www.youtube.com/watch?v=YZ7K5Ovndw8,252.0
201,201,Real,My Number One,https://www.youtube.com/watch?v=000rVpi5-LU,436.0
202,202,Real,Gregory Isaacs - Night Nurse,https://www.youtube.com/watch?v=K6oYyG0KcvQ,242.0
203,203,Real,Gregory Isaacs - Oh What A Feeling,https://www.youtube.com/watch?v=rX4WTQIxU1E,222.0
204,204,Real,Private Secretary,https://www.youtube.com/watch?v=DVVsXkbeqEo,272.0
205,205,Real,Rumours,https://www.youtube.com/watch?v=f77NV7PM7MY,370.0
206,206,Real,Gregory Isaacs - Soon Forward,https://www.youtube.com/watch?v=CO1YS4Ff0aU,391.0
207,207,Real,Gregory Isaacs    The Border Original version,https://www.youtube.com/watch?v=rl6kSGdQANY,584.0
208,208,Real,Fight All You Can,https://www.youtube.com/watch?v=ERU5AjJ0iG8,241.0
209,209,Real,Jah Jah Know,https://www.youtube.com/watch?v=_w8iqT4cVIg,364.0
210,210,Real,Greetings,https://www.youtube.com/watch?v=e8B7yYXqrjM,222.0
211,211,Real,Half Pint - Level The Vibes,https://www.youtube.com/watch?v=1FnYUkfRaBQ,
212,212,Real,One Big Family,https://www.youtube.com/watch?v=QQu8TVI3JtU,
213,213,Real,Substitute Lover,https://www.youtube.com/watch?v=5bJ_4MMAscQ,
214,214,Real,Half Pint - Victory,https://www.youtube.com/watch?v=oAm87VmwYOw,260.0
215,215,Real,Horace Andy - Don´t try to use me  + Extended Mix (Makonnen Sounds Session),https://www.youtube.com/watch?v=gw5Euwz0qsA,
216,216,Real,Ain't No Sunshine - Horace Andy,https://www.youtube.com/watch?v=b-2n7VLBHi0,
217,217,Real,Horace Andy - Love Of A Woman,https://www.youtube.com/watch?v=ysyoP2mjYWI,
218,218,Real,"Horace Andy ""Skylarking""",https://www.youtube.com/watch?v=RCHTAu4In70,169.0
219,219,Real,HORACE ANDY - Something On My Mind [1972],https://www.youtube.com/watch?v=5NXYSGcx1mM,278.0
220,220,Real,HORACE ANDY - You Are My Angel [1973],https://www.youtube.com/watch?v=6ZfYLAUNynE,
221,221,Real,Bad Boys (Theme from Cops),https://www.youtube.com/watch?v=2Q3dGZPguSM,
222,222,Real,Inner Circle - Games People Play (Official Video HD)(Audio HD),https://www.youtube.com/watch?v=TingYha7t7Y,204.0
223,223,Real,Inner Circle - Sweat (A La La La La Long),https://www.youtube.com/watch?v=-SvridcLD-I,238.0
224,224,Real,Tired Fe Lick Weed In A Bush,https://www.youtube.com/watch?v=_2wpfZEN8cU,
225,225,Real,Inner Circle -  We 'A' Rockers,https://www.youtube.com/watch?v=G7sL-_Nl2QY,203.0
226,226,Real,Iration - Daytrippin (Official Video),https://www.youtube.com/watch?v=Hj8TcCopyzc,
227,227,Real,Iration - Falling,https://www.youtube.com/watch?v=QmqPWdEuwhw,242.0
228,228,Real,Iration - Hotting Up [OFFICIAL MUSIC VIDEO],https://www.youtube.com/watch?v=qeIckqEWCvs,221.0
229,229,Real,Lost And Found (Official Lyric) - IRATION - Hotting Up,https://www.youtube.com/watch?v=sQepALP1Xwc,238.0
230,230,Real,Iration - Time Bomb,https://www.youtube.com/watch?v=UeyRvNFJgL0,191.0
231,231,Real,Iration - Turn Around,https://www.youtube.com/watch?v=Y7JWg07GF3o,229.0
232,232,Real,You Know You Don't Mind - IRATION - Hotting Up,https://www.youtube.com/watch?v=qnVejcgUgjw,227.0
233,233,Real,ISRAEL VIBRATION - Bad Intention [1976],https://www.youtube.com/watch?v=MKKkuhDLHps,451.0
234,234,Real,Cool and Calm,https://www.youtube.com/watch?v=TpqP9U9NzSQ,266.0
235,235,Real,Israel Vibration - Herb is the healing,https://www.youtube.com/watch?v=7DGeTmex51o,
236,236,Real,Pay the Piper,https://www.youtube.com/watch?v=qWlLPaImRDY,289.0
237,237,Real,Rudeboy Shufflin' (Live 95),https://www.youtube.com/watch?v=o5jYyNl-bYQ,361.0
238,238,Real,ISRAEL VIBRATION - The Same Song [1978],https://www.youtube.com/watch?v=0B-magM6wNs,435.0
239,239,Real,Jacob Collier - Cinnamon Crush (Feat. Lindsey Lomis),https://www.youtube.com/watch?v=thAIw6vhchw,228.0
240,240,Real,Jacob Miller - Forward Jah Jah Children,https://www.youtube.com/watch?v=TKPNV0DckMs,
241,241,Real,Jacob Miller - I'm A Natty (live),https://www.youtube.com/watch?v=h67Eepf1kas,293.0
242,242,Real,Mixed Up Moods,https://www.youtube.com/watch?v=1Wh4lqqBSjA,327.0
243,243,Real,Jacob Miller - Tenement Yard,https://www.youtube.com/watch?v=g5sOdcK2hp4,
244,244,Real,Tired Fi Lick Weed,https://www.youtube.com/watch?v=aYZOYWhwA04,183.0
245,245,Real,Before I Leave,https://www.youtube.com/watch?v=CXHRd3NhBhQ,235.0
246,246,Real,"Jah Cure, Jah Cure - Call On Me ft. Phyllisia, Phyllisia",https://www.youtube.com/watch?v=B-sf5aycPnA,270.0
247,247,Real,Jah Cure - Journey (Official Video) HD,https://www.youtube.com/watch?v=zYeGGNTG8Y0,
248,248,Real,Longing For - Jah Cure,https://www.youtube.com/watch?v=VnrplbIae64,
